Name,Size,Alignment,Challenge,Environments,Source,Page,Movement,Special,Damage,Type
Ice Princess,Medium,NE,11,"Arctic, Mountain",MOF,50,walk,"Innate Spellcasting, Magic Resistance, Multiattack 2, Special Action 1, Special Reaction 1","slashing, cold",elementalesque
Mouse King,Small,N,11,Urban,CC,29,"walk, climb","Keen Sight, Legendary, Magic Resistance, Other 1, Other 2, Shapechanger, Other 3, Other 4, Innate Spellcasting, Multiattack 2, Multiattack 3, Special Action 1, Special Action 2","magical piercing, poison",shapechanger
Riverwind,Medium,CN,11,"Forest, Grassland, Hill",MOF,72,walk,"Other 1, Innate Spellcasting, Magic Resistance, Multiattack 2, Special Action 1","magical piercing, bludgeoning",unique
Bear King,Medium,LN,12,"Hill, Mountain",TOB,186,walk,"Shapechanger, Keen Smell, Legendary, Other 1, Multiattack 2, Special Action 1, Special Action 2","piercing, slashing, bludgeoning",shapechanger
Lord of Vultures,Large,NG,12,"Desert, Mountain, Underdark",CC,26,"walk, fly","Other 1, Other 2, Legendary, Magic Resistance, Pack Tactics, Other 3, Shapechanger, Other 4, Innate Spellcasting, Multiattack 2, Multiattack 3, Special Action 1, Special Action 2","magical piercing, radiant, magical slashing, bludgeoning",shapechanger
Orchid,Medium,CN,12,"Forest, Grassland, Hill",MOF,64,"walk, fly","Other 1, Innate Spellcasting, Magic Resistance, Multiattack 2, Multiattack 3, Special Action 1, Special Action 2",magical slashing,unique
Queen of Serpents,Medium,LN,12,"Desert, Forest, Mountain, Swamp",CC,34,"walk, climb, swim","Other 1, Keen Smell, Legendary, Magic Resistance, Other 2, Other 3, Shapechanger, Other 4, Innate Spellcasting Multiattack 2, Multiattack 3, Special Action 1, Special Action 2, Special Action 3","magical bludgeoning, magical piercing, poison",shapechanger
Reynard,Medium,CN,12,"Forest, Mountain, Underdark",CC,156,walk,"Legendary, Shapechanger, Multiattack 2, Special Action 1, Special Action 2, Special Action 3, Special Reaction 1",magical piercing,shapechanger
The Lady of the Swans,Medium,NG,12,"Coastal, Swamp, Underwater",MOF,51,"walk, swim","Amphibious, Innate Spellcasting, Magic Resistance, Speak with Beasts and Plants, Special Action 1, Special Action 2, Special Reaction 1",force,unique
Typhoon Tess,Medium,Unaligned,12,"Coastal, Desert, Grassland, Hill, Mountain, Underwater",PCC,413,"walk, fly","Other 1, Other 2, Multiattack 2, Multiattack 3, Special Action 1","slashing, lightning",unique
Bat King,Small,N,13,"Forest, Mountain, Swamp, Underdark, Urban",CC,22,"walk, fly","Other 1, Keen Hearing, Legendary, Magic Resistance, Other 2, Shapechanger, Other 3, Innate Spellcasting, Multiattack 2, Special Action 1, Special Action 2, Special Action 3","magical piercing, magical bludgeoning, thunder",shapechanger
Inu,Gargantuan,N,13,"Forest, Grassland, Hill, Mountain",KC,,walk,"Other 1, Legendary, Special Action 1, Special Action 2","thunder, piercing",unique
Mountain Queen,Large,CN,13,Mountain,SSSL,,"walk, burrow","Other 1, Other 2, Innate Spellcasting, Multiattack 2, Multiattack 3, Special Action 1",bludgeoning,unique
Prince of Twilight,Medium,CE,13,"Forest, Swamp",MOF,67,walk,"Other 1, Innate Spellcasting, Magic Resistance, Multiattack 2, Multiattack 3, Multiattack 4, Multiattack 5, Multiattack 6, Special Action 1","piercing, poison",unique
Frog Witch,Medium,CE,14,"Swamp, Underwater",MOF,34,walk,"Amphibious, Innate Spellcasting, Leap, Magic Resistance, Other 1, Special Action 1, Special Action 2, Special Action 3","magical bludgeoning, magical piercing, poison, thunder",monsteresque
Queen of Birds,Large,CN,14,Mountain,CC,31,"walk, fly","Other 1, Flyby, Legendary, Magic Resistance, Other 2, Shapechanger, Other 3, Other 4, Innate Spellcasting Multiattack 2, Multiattack 3, Special Action 1, Special Action 2, Special Reaction 1","magical slashing, lightning, thunder, magical piercing",shapechanger
Queen of Cats,Large,CG,15,"Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Urban",CC,33,"walk, climb","Other 1, Keen Smell, Legendary, Magic Resistance, Charge/Pounce, Other 2, Other 3, Shapechanger, Other 4, Innate Spellcasting, Multiattack 2, Multiattack 3, Special Action 1","radiant, magical slashing, magical piercing",shapechanger
Berchta,Medium,LN,16,"Coastal, Forest, Mountain, Swamp, Urban",CC,154,"walk, swim, fly","Other 1, Legendary, Shapechanger, Innate Spellcasting, Multiattack 2, Special Action 1, Special Action 2, Special Reaction 1","force, slashing",shapechanger
Brother Ox,Huge,LN,16,Mountain,CC,25,walk,"Other 1, Charge/Pounce, Legendary, Magic Resistance, Rejuvenation, Shapechanger, Other 2, Multiattack 2, Multiattack 3, Special Action 1, Special Reaction 1","magical piercing, magical bludgeoning, necrotic",shapechanger
Crystal Queen/Queen of Giants,Medium,NE,16,"Arctic, Mountain",TOB,198,walk,"Innate Spellcasting, Legendary, Other 1, Multiattack 2, Special Action 1, Special Action 2, Special Reaction 1","cold, magical slashing, magical piercing",unique
River King,Medium,CN,16,"Coastal, Swamp, Underwater",TOB,196,"walk, swim","Amphibious, Innate Spellcasting, Legendary, Multiattack 2, Multiattack 3, Special Action 1, Special Action 2, Special Reaction 1","lightning, magical slashing, bludgeoning",unique
The Oak Lord,Large,CG,16,"Forest, Grassland, Hill",MOF,60,walk,"Innate Spellcasting, Magic Resistance, Shapechanger, Speak with Beasts and Plants, Multiattack 2, Multiattack 3, Special Action 1","magical slashing, magical bludgeoning",unique
Frost Lord,Medium,NE,17,"Arctic, Mountain",MOF,35,walk,"Other 1, Innate Spellcasting, Magic Resistance, Other 2, Special Action 1, Special Action 2, Special Reaction 1",cold,unique
Moonlit King,Medium,NG,17,"Arctic, Mountain, Underdark",TOB,190,walk,"Other 1, Innate Spellcasting, Legendary, Multiattack 2, Multiattack 3, Special Action 1, Special Action 2, Special Action 3, Special Action 4, Special Reaction 1","radiant, magical bludgeoning, necrotic",unique
Queen of Witches,Large,N,17,Mountain,TOB,194,"walk, fly","Other 1, Innate Spellcasting, Magic Resistance, Legendary, Other 2, Multiattack 2, Special Action 1","magical bludgeoning, radiant, force",unique
Lord of the Hunt,Medium,LN,18,"Forest, Grassland, Hill",TOB,188,walk,"Other 1, Innate Spellcasting, Legendary, Multiattack 2, Multiattack 3, Special Action 1, Special Reaction 1","magical piercing, poison",unique
Trostani,Large,NG,18,"Forest, Urban",GGR,252,walk,"Innate Spellcasting, Legendary, Magic Resistance, Speak with Beasts and Plants, Other 1, Multiattack 2, Multiattack 3, Special Action 1, Special Action 2, Special Action 3","magical bludgeoning, radiant, slashing",
Baba Yaga,Medium,CN,20,"Coastal, Forest, Grassland, Hill, Swamp, Underdark, Urban",CC,46,"walk, fly","Other 1, Other 2, Other 3, Legendary, Other 4, Innate Spellcasting, Multiattack 2, Multiattack 3, Special Action 1, Special Action 2, Special Action 3, Special Reaction 1","bludgeoning, piercing, necrotic",unique
King Oberon,Medium,CG,20,"Forest, Grassland, Hill",MOF,61,walk,"Innate Spellcasting, Magic Resistance, Magic Resistance, Speak with Beasts and Plants, Multiattack 2, Multiattack 3, Special Action 1, Special Action 2","magical slashing, radiant",unique
Snow Queen,Medium,CE,20,"Arctic, Mountain",MOF,82,walk,"Other 1, Innate Spellcasting, Magic Resistance, Multiattack 2, Special Action 1, Special Reaction 1","piercing, cold",unique
Queen of Night and Magic,Medium,NE,21,"Arctic, Mountain, Underdark",TOB,192,"walk, fly","Legendary, Magic Resistance, Other 1, Innate Spellcasting, Multiattack 2, Multiattack 3, Special Action 1, Special Action 2, Special Action 3, Special Reaction 1","piercing, cold, radiant",unique
Witch King,Medium,CE,21,"Arctic, Forest, Hill, Mountain, Swamp",MOF,99,walk,"Other 1, Innate Spellcasting, Magical Resistance, Multiattack 2, Multiattack 3, Special Reaction 1","slashing, necrotic",unique
Queen Titania,Medium,CG,23,Forest,MOF,88,"walk, fly","Innate Spellcasting, Other 1, Magical Resistance, Speak with Beasts and Plants, Multiattack 2, Multiattack 3, Special Action 1","magical piercing, radiant",unique
Skeleton King,Medium,CE,24,"Desert, Forest, Grassland, Swamp",MOF,80,"walk, climb","Innate Spellcasting, Magical Resistance, Other 1, Multiattack 2, Multiattack 3, Special Action 1, Special Action 2, Special Action 3","bludgeoning, necrotic",unique
The Elder Tree,Huge,N,24,Forest,MOF,23,none,"Other 1, Other 2, Innate Spellcasting, Magic Resistance, Speak with Beasts and Plants, Multiattack 2, Multiattack 3, Multiattack 4, Multiattack 5, Special Action 1, Special Action 2",bludgeoning,unique
The Queen of Darkness,Medium,CE,25,"Arctic, Forest, Hill, Mountain, Swamp",MOF,69,"walk, fly","Innate Spellcasting, Magic Resistance, Speak with Beasts and Plants, Multiattack 2, Multiattack 3, Special Action 1, Special Action 2, Special Action 3","magical slashing, lightning",unique
